,complete_address,price,log_price,Lat_,long_
0,"18810 Densmore Ave N, Shoreline, WA 98133",313000.0,12.65395846952229,47.7347077,-122.33817069999999
1,"14013 Ashworth Ave N, Seattle, WA 98133",435000.0,12.983101310070822,47.73081679999999,-122.33996846078549
2,"1701 N 204th Pl, Shoreline, WA 98133",379950.0,12.84779494409793,47.777238399999995,-122.3378493
3,"519 N 104th St, Seattle, WA 98133",449250.0,13.015334804645805,47.70415815,-122.35190758691809
4,"14017 Roslyn Pl N, Seattle, WA 98133",329950.0,12.706696406811568,47.731041600000005,-122.34094532539758
5,"18305 Dayton Ave N, Shoreline, WA 98133",250000.0,12.429216196844383,47.7369348,-122.35305359999998
6,"13714 Ashworth Ave N, Seattle, WA 98133",365000.0,12.80765263256463,47.72912545,-122.33932569777141
7,"1718 N 175th St, Shoreline, WA 98133",492000.0,13.106233995474446,47.7559036,-122.3448273
8,"605 N 178th St, Shoreline, WA 98133",405000.0,12.911642346088676,47.7575231,-122.34743859999999
9,"11304 Corliss Ave N, Seattle, WA 98133",245000.0,12.409013489526863,47.7110657,-122.33104709999999
10,"10312 Linden Ave N, Seattle, WA 98133",212000.0,12.26434155365415,47.7040587,-122.34708619212692
11,"19293 Stone Ave N, Shoreline, WA 98133",449500.0,13.015891132893811,47.732521500000004,-122.34239029999999
12,"14700 Burke Ave N, Shoreline, WA 98133",464000.0,13.047639831208393,47.7358102,-122.3355007
13,"13540 Burke Ave N, Seattle, WA 98133",230000.0,12.345834587905333,47.728067700000004,-122.33523409712936
14,"10037 Interlake Ave N, Seattle, WA 98133",385000.0,12.86099861326992,47.7025484,-122.34098840000001
15,"353 N 105th St, Seattle, WA 98133",306000.0,12.631340380934517,47.7048943,-122.35296594719877
16,"14836 Densmore Ave N, Shoreline, WA 98133",543000.0,13.204864598916073,47.7347077,-122.33817069999999
17,"16501-16515 Carlyle Hall Rd N, Shoreline, WA 98133",364000.0,12.804909146618877,47.733852,-122.34461
18,"1909 N 195th St, Shoreline, WA 98133",310000.0,12.644327576461329,47.770647100000005,-122.34665
19,"18218 Evanston Ave N, Shoreline, WA 98133",300000.0,12.611537753638338,47.7341985,-122.3517778
20,"2145 N 178th St, Shoreline, WA 98133",375000.0,12.834681304952548,47.7575231,-122.34743859999999
21,"1610 N 185th St, Shoreline, WA 98133",240000.0,12.388394202324129,47.7631651,-122.3459014
22,"12033 Dayton Ave N, Seattle, WA 98133",467000.0,13.054084536651034,47.71696535,-122.35318050108968
23,"12215 Dayton Ave N, Seattle, WA 98133",465000.0,13.049792684569493,47.71836395,-122.35322129181084
24,"16221 Bagley Pl N, Shoreline, WA 98133",282613.0,12.55183374958996,47.740401,-122.3333817
25,"15024 Wallingford Ave N, Shoreline, WA 98133",475000.0,13.071070083016778,47.7402852,-122.33716100000001
26,"11053 Greenwood Ave N, Seattle, WA 98133",461000.0,13.041153321978786,47.710206,-122.35589979999999
27,"556 N 167th St, Shoreline, WA 98133",268500.0,12.500606192931057,47.750702200000006,-122.37459070000001
28,"11726 Phinney Ave N, Seattle, WA 98133",475000.0,13.071070083016778,47.71498945,-122.35370285751966
29,"14556 Stone Ave N, Shoreline, WA 98133",372500.0,12.827992316801751,47.732521500000004,-122.34239029999999
30,"11207 Evanston Ave N, Seattle, WA 98133",423000.0,12.955127458028414,47.71083845,-122.351813794889
31,"11502 Corliss Ave N, Seattle, WA 98133",325000.0,12.691580461311874,47.7124517,-122.33110335427428
32,"543 N 138th St, Seattle, WA 98133",700000.0,13.458835614025542,47.72942085,-122.35194650276655
33,"18318 Meridian Ave N, Shoreline, WA 98133",377691.0,12.84183167998138,47.745072,-122.3345884
34,"19584-19766 Meridian Ave N, Shoreline, WA 98133",355300.0,12.780717782009118,47.733852,-122.34461
35,"2317 N 147th St, Shoreline, WA 98133",405000.0,12.911642346088676,47.7358102,-122.3355007
36,"15345 Stone Ave N, Shoreline, WA 98133",313000.0,12.65395846952229,47.74121695,-122.34289675996165
37,"16708 N Park Ave N, Shoreline, WA 98133",254000.0,12.445089546000673,47.7367764,-122.34899320000001
38,"2150 N 128th St, Seattle, WA 98133",400000.0,12.89921982609012,47.72233005,-122.33195920740431
39,"10515 Ashworth Ave N, Seattle, WA 98133",550000.0,13.217673557208654,47.70554655,-122.33961998337887
40,"723 N 105th St, Seattle, WA 98133",300000.0,12.611537753638338,47.70488505,-122.34904799390476
41,"11221 Palatine Ave N, Seattle, WA 98133",329932.0,12.706641851603198,47.7112148,-122.3571653744958
42,"12216 Greenwood Ave N, Seattle, WA 98133",440150.0,12.994870856889053,47.7183343,-122.3550473
43,"12575 Corliss Ave N, Seattle, WA 98133",689800.0,13.444156979484877,47.7210904,-122.33099383991421
44,"18202 Dayton Ave N, Shoreline, WA 98133",500000.0,13.122363377404328,47.7369348,-122.35305359999998
45,"720 N 193rd Pl, Shoreline, WA 98133",415000.0,12.936033799212835,47.7693653,-122.3502385
46,"16723 Corliss Pl N, Shoreline, WA 98133",395000.0,12.886641043883259,47.7403945,-122.33233179999999
47,"10711 Ashworth Ave N, Seattle, WA 98133",410000.0,12.92391243868049,47.70724055,-122.33961131634224
48,"13715 Wallingford Ave N, Seattle, WA 98133",304700.0,12.6270829649738,47.7291217,-122.33725040219538
49,"2109 N 161st Pl, Shoreline, WA 98133",310000.0,12.644327576461329,47.7458701,-122.3480497
50,"1633 N 192nd St, Shoreline, WA 98133",359950.0,12.793720411897448,47.76779929999999,-122.34583470000001
51,"2320 N 161st St, Shoreline, WA 98133",371500.0,12.82530414313995,47.745756799999995,-122.3424178
52,"136 N 101st St, Seattle, WA 98133",435000.0,12.983101310070822,47.7026873,-122.35697765036804
53,"15043 Densmore Ave N, Shoreline, WA 98133",515000.0,13.151922179645874,47.7347077,-122.33817069999999
54,"16135 Densmore Ave N, Shoreline, WA 98133",465000.0,13.049792684569493,47.7347077,-122.33817069999999
55,"10217 Aurora Ave N, Seattle, WA 98133",250000.0,12.429216196844383,47.7033494,-122.34497990000001
56,"10734 Whitman Ave N, Seattle, WA 98133",363000.0,12.802158113246987,47.7076057,-122.34579985
57,"633 N 138th St, Seattle, WA 98133",495000.0,13.112313041550827,47.728805200000004,-122.3502212491678
58,"12220 Phinney Ave N, Seattle, WA 98133",440000.0,12.994530005894443,47.71848825,-122.353907632341
59,"10559 Evanston Ave N, Seattle, WA 98133",385000.0,12.86099861326992,47.7066986,-122.351824
